institution_code,institution_name
3832,Escuela Basica Fabian De La Fuente
3833,Escuela Basica Trabuncura
3835,Escuela Britanica Guillermina Drake Wood
3836,Escuela Domitila Urrejola Menchaca
3837,Escuela Enrique Graf Reyes
3838,Escuela Basica Tanilvoro
3840,Escuela Basica Niblinto
3841,Escuela Guardia Marina Ernesto Riquelme
7720,Liceo Pedro Aguirre Cerda
7722,Colegio Rosita Novaro De Novaro Puerto Varas
7723,Escuela Grupo Escolar
7724,Colegio Nueva Braunau
7725,Escuela Rural Colonia Rio Sur
7726,Escuela Rural Santa Maria
7729,Escuela Rural Jose Werner Meixner
7730,Escuela Rural Reinaldo Raddatz Harrich
7732,Escuela Rural Janequeo
7756,Escuela Rural Cristo Rey
7761,Escuela Rural Las Camelias
7765,Escuela Rural La Peninsula
7872,Colegio Bicentenario De Difusion Artistica Los Ulmos
7874,Escuela Rural Cañitas
7878,Escuela Rural Palihue
7879,Escuela Rural Quillagua
7881,Escuela Rural Huautrunes
7887,Escuela Rural Caracol
7896,Escuela Rural Estaquilla
7897,Escuela Rural Manuel Gatica Arriagada
7898,Escuela Rural El Meli
7905,Escuela Rural Paraguay Chico
7924,Escuela Rural San Andres
7927,Escuela Rural Cau-Cau
7929,Escuela Basica Agricola Huempeleo
7930,Escuela Rural Lucila Godoy Alcayaga
7931,Escuela Rural Pato Llico
7933,Escuela Rural Olga Soto Alvarado
7936,Escuela Rural Rinconada
7938,Escuela Rural Entre Rios
7961,Escuela Rural Los Pellines
7962,Escuela Rural Loncotoro
7966,Escuela Rural Linea Solar
7967,Escuela Rural Colegual
7968,Escuela Rural Coligual San Juan
7973,Liceo Industrial Chileno-Aleman
7975,Escuela Arturo Alessandri Palma
7976,Escuela Bernardo Philippi
7977,Escuela Rural Los Linares De Casma
7978,Escuela Rural Mario Perez Navarro
7982,Escuela Rural Paraguay
7987,Escuela Carlos Springer Niklitschek
7990,Escuela Rural Colonia San Martin
4574,Colegio Bicentenario España
4575,Escuela Basica John F. Kennedy
4576,Escuela Belgica
4577,Liceo República De Israel
4578,Escuela Dario Salas Marchant
4579,Escuela Basica Rene Louvel Bert
4581,Escuela Oscar Castro Zuniga
4582,Escuela Esther Hunneus De Claro
4585,Liceo Rebeca Matte Bello
4586,Escuela Basica Manquimavida
8345,Liceo Josefina Aguirre Montenegro
8346,Escuela Victor Domingo Silva
8349,Escuela Pedro Quintana Mansilla
8353,Escuela Nieves Del Sur
8354,Escuela Rural Pablo Cea Vasquez
8355,Escuela Rural Pablo Neruda
8356,Escuela Rural Con Internado Rio Blanco
8357,Escuela Rural Valle Simpson
8358,Escuela Jose Antolin Silva Ormeno
8361,Escuela Rural Valle De La Luna
8362,Escuela Rural Arroyo El Gato
8370,Escuela Municipal Villa Amengual
4121,Escuela Basica El Sol
4128,Escuela Basica De Reloca
8371,Esc.Con Internado Jose Miguel Carrera
8372,Escuela Rural Con Internado La Tapera
8375,Liceo Politecnico De Aysen
8376,Escuela Basica Municipal Poetisa Gabriela Mistral
8377,Escuela Aysen
8379,Escuela Pedro Aguirre Cerda
8380,Liceo Manihuales
8382,Escuela Carlos Condell
8384,Escuela Almirante Simpson
8388,Escuela Guido Gomez Munoz
8389,Escuela Amanda Labarca Huberstone
8390,Escuela Hamburgo
8391,Escuela Eusebio Ibar Schepeler
8392,Liceo Melinka
8393,Escuela De Repollal
8394,Liceo Bicentenario Luisa Rabanal Palma
8397,Escuela Tulio Burgos Rivera
8398,Esc. Libertador Bernardo O´higgins Riquelme
8399,Escuela De Puerto Bertrand
8401,Escuela Gabriela Mistral
8403,Liceo Bicentenario Rural Cerro Castillo
8404,Escuela Aonikenk
8405,Escuela Rural Carretera Austral
8407,Escuela Maria Antonieta Parra Monsalve
8408,Esc. Basica Hernan Merino Correa
8409,Liceo Pioneros Del Sur
8410,Escuela Municipal Cdte Luis Bravo Bravo
8411,Liceo Bicentenario Politecnico Luis Cruz Martinez
8412,Escuela Lib. Bernardo O´higgins R.
8433,Escuela Libertador Cap Gral Bdo Ohiggins
8434,Escuela Espana
8435,Escuela Dieciocho De Septiembre
8436,Escuela Portugal
8437,Esc. Capitan Arturo Prat Chacon
8439,Escuela Juan Williams
8441,Escuela Hernando De Magallanes
8442,Escuela Pedro Pablo Lemaitre
8444,Escuela Patagonia
8448,Escuela Pedro Sarmiento De Gamboa
8449,Escuela Elba Ojeda Gomez
8450,Escuela Dellamira Rebeca Aguilar
8452,Escuela De Puerto Harris
8467,Bernardo De Bruyne
8468,Escuela Diego Portales
8470,Escuela Punta Delgada
8474,Liceo Polivalente Hernando De Magallanes
8475,Escuela Libertador Bdo. O´higgins R.
8479,Escuela Cerro Sombrero
4216,Escuela Basica El Chequen
8482,Escuela Ignacio Carrera Pinto
8483,Liceo Bicentenario Donald Mc-Intyre Griffiths
8484,Escuela Puerto Toro
8518,Liceo Estacion Central
8519,Escuela Basica Pedro Aguirre Cerda
8521,Escuela Carlos Condell De La Haza
8544,Escuela Básica Arturo Alessandri Palma
8556,Escuela Republica De Austria
4877,Escuela Basica Ponen
4879,Escuela Basica Puente Siete
4882,Escuela Basica Quebrada Las Ulloa
4886,Escuela Basica San Sebastian De Manco
4889,Escuela Basica Peninhueque
4909,Escuela Profesora Juana Salgado Parra De Unihue
449,Liceo José Santos Ossa
4904,Escuela Basica Ranguel
4943,Escuela Chacayal
4946,Escuela La Generala
4948,Liceo Politecnico Rosauro Santana Rios
4949,Liceo Comercial Presidente Frei Montalva
4951,Liceo Carlos Cousiño Goyenechea
4952,Liceo Baldomero Lillo Figueroa
12961,Liceo Radomiro Tomic Romero
12980,Liceo Bicentenario Diego Portales Palazuelos
13104,Escuela Manuel Orella Echanez
13116,Escuela Básica Rural Jaime Prohens
13118,Escuela Básica Marta Emiliana Aguilar Zerón
13121,Escuela Básica Capitán Rafael Torreblanca
13128,Escuela Rural Moisés López Trujillo
13133,Escuela Manuel Rodríguez
13134,Escuela Mireya Zuleta Astudillo
13135,Escuela Básica Ignacio Domeyko
13143,Escuela Byron Gigoux James
9075,Complejo Educ. Joaquin Edwards Bello.
9072,Liceo Villa Macul Academia Ex Liceo Juana De Ibarbourou A 48
9090,Escuela Bas. Centro Educacional Millantu
9104,Escuela Villa Macul
9719,Escuela Basica
9424,Escuela Basica Fray Camilo Henriquez
9426,Escuela Llano Subercaseaux
9428,Escuela Basica Ricardo E. Latchman
9429,Escuela Poeta Victor Domingo Silva
9430,Centro Educ. Provincia De Ñuble
9431,Escuela Villa San Miguel
9433,Escuela Basica Municipal
9437,Esc. Bas. Y Esp. Su Santidad Juan Xxiii
1523,Escuela Naciones Unidas
9446,Escuela De Parvulos Rayito De Luz
9457,Escuela Básica Poeta Neruda (Ex-483)
9458,Escuela Boroa
9443,Escuela Bas. Los Heroes De Yungay
9720,Colegio Hernan Olguin
9582,Liceo Polivalente Francisco Frias V.
9585,Liceo Doctor Alejandro Del Rio
9586,Liceo Municipalizado Araucania
9587,Liceo Malaquias Concha
9588,Escuela Bas. Tecno Sur
9590,Escuela Belgica
9592,Escuela Basica Sendero Del Saber
9593,Escuela Basica Educadores De Chile
9599,Liceo Municipal Purkuyen
9600,Escuela Nanihue
9601,Centro Educacional Municipal San Ramon
9605,Colegio Municipal Proceres De Chile
9606,Escuela Bas. La Araucania
9608,Centro Educacional Mirador
9609,Escuela Bas. Sanitas
9610,Escuela Bas. Poeta Oscar Castro Zuniga
9611,Escuela Basica Tupahue
9612,Escuela Basica Islas De Chile
9614,Escuela Basica Karelmapu
9617,Liceo Municipal La Granja Poeta Neruda
9618,Escuela Bas. Benjamin Subercaseaux
9625,Escuela Basica Villa La Cultura
9629,Escuela Basica Aliven
9693,Liceo Politecnico Ciencia Y Tecnologia
9695,Liceo Polivalente Eugenio Pereira Salas
9697,Liceo Polivalente
9699,Colegio Naciones Unidas
9700,Colegio Palestino
9701,Liceo Polivalente Olof Palme
9703,Escuela Esperanza Joven
9704,Escuela Lo Valledor
9705,Escuela Basica Salomon Sack
9706,Escuela Bas. Oscar Encalada Yovanovich
9709,Escuela Blue Star College
9710,Escuela Basica Santa Adriana
9716,Escuela Basica Acapulco
9726,Liceo Teniente Francisco Mery Aguirre
9727,Escuela Ciudad De Barcelona
9729,Escuela Villa Sur
9730,Colegio Antu
9733,Escuela Basica Clara  Estrella
9734,Escuela  Raul Saez Saez
9738,Colegio Parque Las Americas
9740,Escuela Basica Republica De Las Filipinas
9741,Escuela Basica Coeducacional
9862,Liceo Bicentenario Polivalente A N°71 Guillermo Feliu Cruz
9863,Liceo Santiago Bueras Y Avaria
9864,Liceo Jose Ignacio Zenteno
9865,Liceo Polivalente Dr. Luis Vargas Salcedo
9869,Escuela Basica Republica De Francia
9870,Escuela Basica Condores De Plata
